procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 5098764 185112 7182948    0    0   351   509  287  434  5  2 92  1  0
 0  0      0 5079612 185112 7191360    0    0     0     0  312  518  0  0 100  0  0
 0  0      0 5078100 185112 7182952    0    0     0     0  260  429  0  0 100  0  0
 1  0      0 5068020 185112 7182968    0    0     0     0  357 1005  1  0 99  0  0
 0  0      0 5056932 185112 7183032    0    0     0     0  635 1731  2  1 98  0  0
 1  0      0 5020764 185128 7198772    0    0 11256    56 1185 3530  2  1 96  0  0
 1  0      0 5010936 185128 7199512    0    0     0     0 1120 2504  1  0 98  0  0
 0  0      0 5000856 185128 7199332    0    0     0     0  499 1262  1  0 99  0  0
 1  0      0 4990524 185128 7198708    0    0     0     0  271  757  0  0 99  0  0
 0  0      0 4980444 185128 7198712    0    0     0     0  744 2096  1  0 99  0  0
 0  0      0 4969860 185128 7198848    0    0     0     0  568 1042  1  0 99  0  0
 0  0      0 4959780 185136 7198736    0    0     0    32  319  461  0  0 100  0  0
 0  0      0 4950084 185136 7198736    0    0     0     0  610 1513  1  1 98  0  0
 0  0      0 4942272 185136 7198312    0    0     0     0  330  795  0  0 100  0  0
 0  0      0 4931940 185136 7198176    0    0     0     0  242  496  0  0 99  0  0
 1  0      0 4922364 185136 7198176    0    0     0   116  194  304  0  0 100  0  0
 0  0      0 4921860 185136 7198176    0    0     0     0  132  257  0  0 100  0  0
 0  0      0 4911528 185144 7198176    0    0     0    24  159  271  0  0 100  0  0
 0  0      0 4901448 185144 7198176    0    0     0     0  138  254  0  0 100  0  0
 0  0      0 4891116 185144 7198176    0    0     0     0  174  285  0  0 100  0  0
 0  0      0 4880784 185144 7198176    0    0     0    92  150  252  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 4870704 185144 7198160    0    0     0     0  291  465  0  0 99  0  0
 0  0      0 4860120 185144 7198164    0    0     0     0  275  529  0  0 100  0  0
 0  0      0 5169828 185152 7198164    0    0     0    24  227  299  0  0 99  0  0
 0  0      0 5170112 185152 7198164    0    0     0     0  166  347  0  0 100  0  0
 0  0      0 5169836 185152 7198168    0    0     0     4  218  362  0  0 100  0  0
 0  0      0 5169836 185152 7198168    0    0     0     0  129  246  0  0 100  0  0
 0  0      0 5169836 185160 7198160    0    0     0   128  185  326  0  0 100  0  0
 0  0      0 5169584 185160 7198168    0    0     0     0  163  285  0  0 100  0  0
 0  0      0 5170616 185160 7197912    0    0     0     0  223  341  0  0 100  0  0
 0  0      0 5170616 185160 7197912    0    0     0     0  152  343  0  0 100  0  0
 0  0      0 5170364 185160 7197908    0    0     0     0  228  468  0  0 100  0  0
 0  0      0 5170364 185168 7197908    0    0     0    48  167  352  0  0 100  0  0
 0  0      0 5170364 185168 7197908    0    0     0     0  147  262  0  0 100  0  0
 0  0      0 5170364 185168 7197908    0    0     0     0  123  243  0  0 100  0  0
 0  0      0 5170364 185168 7197908    0    0     0     0  164  380  0  0 100  0  0
 0  0      0 5170364 185168 7197908    0    0     0   104  135  269  0  0 100  0  0
